fold,candidate_id,seed,test_start,test_end,total_pnl,max_drawdown_pct,profit_factor,positive_window_ratio
1,P8_SEVERE_WIND_DOWN,3,nyse_20241018T200000Z,nyse_20241108T210000Z,-3.995385103269056,0.00597904032309212,0.16471020277322623,0.0
2,P8_SEVERE_WIND_DOWN,3,nyse_20241115T210000Z,nyse_20241129T180000Z,1.2809272440183077,0.0015006494644622644,2.066977394082259,0.5
3,P8_SEVERE_WIND_DOWN,3,nyse_20241206T210000Z,nyse_20241224T180000Z,5.223637073438606,0.0005042637161041652,13.948673746039379,0.5
4,P8_SEVERE_WIND_DOWN,3,nyse_20241227T210000Z,nyse_20250108T210000Z,5.34108308996111,0.0017103615079791768,4.903475277773072,1.0
5,P8_SEVERE_WIND_DOWN,3,nyse_20250110T210000Z,nyse_20250131T210000Z,2.2102485476665916,0.004052853902915208,1.6816951093637884,0.5
6,P8_SEVERE_WIND_DOWN,3,nyse_20250207T210000Z,nyse_20250228T210000Z,1.820259904692331,0.005866142929572053,1.3878740951563215,0.5
7,P8_SEVERE_WIND_DOWN,3,nyse_20250307T210000Z,nyse_20250328T200000Z,-0.5937204487467187,0.003469886842171364,0.7861167828548034,0.5
8,P8_SEVERE_WIND_DOWN,3,nyse_20250404T200000Z,nyse_20250425T200000Z,-1.97259445900825,0.0024657430737603124,0.08813237681469487,0.25
9,P8_SEVERE_WIND_DOWN,3,nyse_20250502T200000Z,nyse_20250523T200000Z,2.974607166087948,0.0043016025182434645,1.8643892460636426,0.75
10,P8_SEVERE_WIND_DOWN,3,nyse_20250530T200000Z,nyse_20250618T200000Z,0.17928925602725032,0.00127401546249718,1.1759096154098356,0.5
11,P8_SEVERE_WIND_DOWN,3,nyse_20250620T200000Z,nyse_20250711T200000Z,1.248357533047501,0.0018666045498449014,1.8359815240132333,0.5
12,P8_SEVERE_WIND_DOWN,3,nyse_20250718T200000Z,nyse_20250808T200000Z,-1.2277638656452083,0.0027718778609724217,0.48682362341271335,0.5
13,P8_SEVERE_WIND_DOWN,3,nyse_20250815T200000Z,nyse_20250905T200000Z,0.8632337301370718,0.00021308172218228956,6.063982736859187,0.25
14,P8_SEVERE_WIND_DOWN,3,nyse_20250912T200000Z,nyse_20251003T200000Z,1.5229150241132967,0.00020815110149948718,10.145489821711617,0.5
15,P8_SEVERE_WIND_DOWN,3,nyse_20251010T200000Z,nyse_20251031T200000Z,0.09054091880242149,0.004244344632241933,1.0198960280404104,0.5
16,P8_SEVERE_WIND_DOWN,3,nyse_20251107T210000Z,nyse_20251126T210000Z,-1.0061454984067506,0.006506153803892408,0.8066934918974694,0.25
17,P8_SEVERE_WIND_DOWN,3,nyse_20251128T180000Z,nyse_20251219T210000Z,1.6913240957265467,0.0011459439682274344,2.8449026988015778,1.0
